player_name,age,team_abbreviation,draft_round,draft_number,player_height,player_weight,ptsseason1,ptsseason2,ptsseason3,ptsseason4,ptsseason5
AJ Price,23,IND,2,52,187.96,82.100152,7.3,6.5,3.9,7.7,1.6
Aaron Gordon,19,ORL,1,4,205.74,99.79024,5.2,9.2,12.7,17.6,16
Aaron Gray,23,CHI,2,49,213.36,122.46984,4.3,3.5,3.3,3.1,3.9
Aaron Holiday,22,IND,1,23,185.42,83.91452,5.9,9.5,7.2,6.3,3.9
Adonal Foyle,23,GSW,1,8,208.28,113.398,3,2.9,5.5,5.9,4.8
Al Harrington,19,IND,1,25,205.74,104.32616,2.1,6.6,7.5,13.1,12.2
Al Horford,22,ATL,1,3,208.28,111.13004,10.1,11.5,14.2,15.3,12.4
Al Jefferson,20,BOS,1,15,208.28,120.20188,6.7,7.9,16,21,23.1
Al-Farouq Aminu,20,LAC,1,8,205.74,97.52228,5.6,6,7.3,7.2,5.6
Alec Burks,20,UTA,1,12,198.12,91.625584,7.2,7,14,13.9,13.3
Alex Len,21,PHX,1,5,215.9,115.66596,2,6.3,9,8,8.5
Alize Johnson,23,IND,2,50,205.74,96.161504,0.9,2,5.2,1.8,1.8
Allen Crabbe,22,POR,2,31,198.12,95.25432,2.2,3.3,10.3,10.7,13.2
Allen Iverson,22,PHI,1,1,182.88,74.84268,23.5,22,26.8,28.4,31.1
Alvin Williams,23,TOR,2,47,195.58,83.91452,6,5,5.3,9.8,11.8
Amar'e Stoudemire,20,PHX,1,9,208.28,111.13004,13.5,20.6,26,8.7,20.4
Amir Johnson,19,DET,2,56,205.74,95.25432,6.7,5.9,3.6,3.5,6.2
Anderson Varejao,22,CLE,2,30,208.28,104.32616,4.9,4.6,6.8,6.7,8.6
Andray Blatche,19,WAS,2,49,210.82,106.59412,2.2,3.7,7.5,10,14.1
Andre Drummond,19,DET,1,9,208.28,122.46984,7.9,13.5,13.8,16.2,13.6
Andre Iguodala,21,PHI,1,9,198.12,93.893544,9,12.3,18.2,19.9,18.8
Andre Miller,24,CLE,1,8,187.96,92.079176,11.1,15.8,16.5,13.6,14.8
Andre Roberson,22,OKC,1,26,200.66,95.25432,1.9,3.4,4.8,6.6,5
Andrea Bargnani,21,TOR,1,1,213.36,113.398,11.6,10.2,15.4,17.2,21.4
Andrew Bogut,21,MIL,1,1,213.36,111.13004,9.4,12.3,14.3,11.7,15.9
Andrew Bynum,18,LAL,1,10,213.36,124.7378,1.6,7.8,13.1,14.3,15
Andrew Nicholson,23,ORL,1,19,205.74,113.398,7.8,5.7,4.9,6.9,2.6
Andrew Wiggins,20,MIN,1,1,203.2,90.264808,16.9,20.7,23.6,17.7,18.1
Andris Biedrins,19,GSW,1,11,210.82,108.86208,3.6,3.8,9.5,10.5,11.9
Anfernee Simons,20,POR,1,24,193.04,83.91452,3.8,8.3,7.8,17.3,21.1
Antawn Jamison,23,GSW,1,4,205.74,101.151016,9.6,19.6,24.9,19.7,22.2
Anthony Davis,20,NOP,1,1,208.28,99.79024,13.5,20.8,24.4,24.3,28
Anthony Johnson,23,SAC,2,39,190.5,86.18248,7.5,5,2.8,2.5,2.8
Anthony Randolph,19,GSW,1,14,208.28,95.25432,7.9,11.6,7.6,7.4,3.7
Antoine Walker,20,BOS,1,6,205.74,101.604608,17.5,22.4,18.7,20.5,23.4
Antoine Wright,22,BKN,1,15,200.66,95.25432,1.8,4.5,6.3,7.3,6.5
Antonio Daniels,23,MEM,1,4,193.04,88.45044,7.8,4.7,6.2,9.4,9.2
Arron Afflalo,22,DET,1,27,195.58,97.52228,3.7,4.9,8.8,12.6,15.2
Austin Croshere,23,IND,1,12,205.74,106.59412,2.9,3.4,10.3,10.1,6.8
Austin Daye,22,DET,1,15,210.82,90.7184,5.1,7.5,4.7,4.5,3
Austin Rivers,20,NOP,1,10,193.04,90.7184,6.2,7.7,7,8.9,12
